rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
195,jveitchmichaelis,0.001035788600767342,6.195150592390346e-05,0.1875,3,1,0.0566829008920841,3,0.2438,7
196,DogWala,0.0010756789227238074,0.0,0.1875,3,0,0.056680271569089516,2,0.37804000000000004,5
197,CoderTCY,0.0010658591131898734,4.46497339992097e-06,0.1875,3,1,0.05667768313729592,3,0.35434,5
198,efsotr,0.0010668258774123491,0.0,0.1875,3,0,0.05667673035096493,3,0.12613636363636363,11
201,ntenenz,0.001057579729837914,0.0,0.1875,3,0,0.05667303189193516,3,-0.145,5
207,baonudesifeizhai,0.0010269264308457758,1.6743650249703637e-06,0.1875,3,1,0.056661272881845796,3,0.031375,4
208,fancyerii,0.0010266065285590936,0.0,0.1875,3,0,0.05666064261142363,3,-0.31565,6
212,vador31,0.0009877432005629167,0.0,0.1875,3,0,0.05664509728022516,3,0.05572727272727273,11
214,ArjunPimpale,0.0009348738291112518,6.474211429885406e-05,0.1875,3,2,0.05664337216593415,4,0.5455545454545455,11
216,dacorvo,0.0009828458868755868,0.0,0.1875,3,0,0.05664313835475023,3,0.2175,14
217,davidmezzetti,0.000982677646829523,0.0,0.1875,3,0,0.0566430710587318,3,0.48941999999999997,5
218,harish6696,0.0009813672325869852,0.0,0.1875,3,0,0.05664254689303479,3,0.846425,4
220,fr1ll,0.0009298785190425315,5.357968079905164e-05,0.1875,3,1,0.05663802531185672,3,0.02867500000000002,4
221,Xqle,0.0009636474642463575,0.0,0.1875,3,0,0.056635458985698536,3,0.6063666666666666,3
222,yuyijiong,0.0009619326542328033,0.0,0.1875,3,0,0.056634773061693115,3,0.10582500000000002,4
223,radulescupetru,0.0009576233164901045,0.0,0.1875,3,0,0.05663304932659604,3,-0.17975,6
225,Anjum48,0.0009064230321537496,5.8230694757302656e-05,0.1875,3,1,0.056630038421288685,3,0.4021285714285714,7
226,fushh,0.0009451978049352624,0.0,0.1875,3,0,0.0566280791219741,3,0.7358800000000001,5
228,KeshavSingh29,0.0008929611690798871,5.916089754895285e-05,0.1875,3,1,0.05662493273689664,3,0.41733333333333333,6
231,Metric-Void,0.0009245351517746654,0.0,0.1875,3,0,0.05661981406070986,3,-0.378325,4
233,hvaara,0.0009172198346295876,0.0,0.1875,3,0,0.05661688793385183,3,0.42782500000000007,12
237,yukiarimo,0.0009055964237375617,0.0,0.1875,3,0,0.056612238569495016,3,0.13031666666666666,6
239,zzigak,0.0009042131946884898,0.0,0.1875,3,0,0.05661168527787539,3,0.4514333333333333,3
240,andylizf,0.0009024263041491947,0.0,0.1875,3,0,0.05661097052165967,3,0.24513333333333334,3
244,Alan-Jowett,0.0008901088783944398,0.0,0.1875,3,0,0.056606043551357774,3,0.16597499999999998,4
245,Asunatan,0.0008895002073839592,0.0,0.1875,3,0,0.05660580008295358,3,-0.003050000000000025,4
