rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
209,ppwwyyxx,0.0017888141156567829,0.0,0.05128205128205128,2,0,0.016100141030878097,2
210,BobBob-Fu,0.0017731852547460687,0.0,0.05128205128205128,2,0,0.016093889486513812,2
211,AneeshGidda,0.001737854668279084,0.0,0.05128205128205128,2,0,0.016079757251927018,2
212,KatsiarynaYab,0.001729691038767838,0.0,0.05128205128205128,2,0,0.01607649180012252,2
213,zap150,0.0017260618285766425,0.0,0.05128205128205128,2,0,0.01607504011604604,2
214,whysocscs,0.001725948076512698,0.0,0.05128205128205128,2,0,0.016074994615220464,2
215,aeeeeeep,0.0017124740013939577,0.0,0.05128205128205128,2,0,0.016069604985172965,2
216,RAT-tjy,0.0017121742608638656,0.0,0.05128205128205128,2,0,0.01606948508896093,2
217,NetWilliam,0.001707821769805931,0.0,0.05128205128205128,2,0,0.016067744092537757,2
218,chinmaydk99,0.0017038520500187177,0.0,0.05128205128205128,2,0,0.016066156204622872,2
219,michael-960,0.00170294538898424,0.0,0.05128205128205128,2,0,0.01606579354020908,2
220,amd-xiaoyu12,0.001702354529169169,0.0,0.05128205128205128,2,0,0.01606555719628305,2
221,yyds1233,0.0017016237484255598,0.0,0.05128205128205128,2,0,0.016065264883985606,2
222,kyunggeunlee,0.0017004339422422808,0.0,0.05128205128205128,2,0,0.016064788961512297,2
223,postmath,0.0016953554859512564,0.0,0.05128205128205128,2,0,0.016062757578995886,2
224,antony-frolov,0.0016942977837123327,0.0,0.05128205128205128,2,0,0.016062334498100315,2
225,imperatormk,0.0016933899364322594,0.0,0.05128205128205128,2,0,0.016061971359188288,2
226,Rakul-Chauhan,0.0016837811164013546,0.0,0.05128205128205128,2,0,0.016058127831175925,2
227,tomjen12,0.0016828791305821909,0.0,0.05128205128205128,2,0,0.01605776703684826,2
228,nikitas-k,0.0016820405888007678,0.0,0.05128205128205128,2,0,0.01605743162013569,2
229,abaybektursun,0.001670578707710586,0.0,0.05128205128205128,2,0,0.01605284686769962,2
230,leofang,0.0016671717986151487,0.0,0.05128205128205128,2,0,0.016051484104061445,2
231,shawkui,0.0016610952831255471,0.0,0.05128205128205128,2,0,0.016049053497865604,2
232,PaulLockett,0.0016551988632743262,0.0,0.05128205128205128,2,0,0.016046694929925113,2
233,xjh19971,0.0016491886913591611,0.0,0.05128205128205128,2,0,0.01604429086115905,2
234,MaKaNu,0.0016354148757103289,0.0,0.05128205128205128,2,0,0.016038781334899516,2
235,ARozental,0.001634694503186781,0.0,0.05128205128205128,2,0,0.016038493185890096,2
236,avolchek,0.0016120401257274306,0.0,0.05128205128205128,2,0,0.016029431434906358,2
237,m-cahill,0.001606119745428654,0.0,0.05128205128205128,2,0,0.016027063282786844,2
238,yunyiyun,0.0015898130469325193,0.0,0.05128205128205128,2,0,0.01602054060338839,2
239,jnguyen75,0.0015898130469325193,0.0,0.05128205128205128,2,0,0.01602054060338839,2
240,rs-lsl,0.001584880443375354,0.0,0.05128205128205128,2,0,0.016018567561965527,2
241,Ulrond,0.0015760499983207108,0.0,0.05128205128205128,2,0,0.01601503538394367,2
242,AllenFeiZZ,0.0015698193877692885,0.0,0.05128205128205128,2,0,0.0160125431397231,2
243,rishisurendran,0.0015575443520267796,0.0,0.05128205128205128,2,0,0.016007633125426097,2
244,Hideki-Ooyanagi,0.0015570958551055943,0.0,0.05128205128205128,2,0,0.01600745372665762,2
245,sef43,0.0015565200426271941,0.0,0.05128205128205128,2,0,0.01600722340166626,2
246,majing921201,0.0015494620239658685,0.0,0.05128205128205128,2,0,0.01600440019420173,2
247,staugust,0.0015273150018061039,0.0,0.05128205128205128,2,0,0.015995541385337826,2
248,rdspring1,0.0014915218346792114,0.0,0.05128205128205128,2,0,0.01598122411848707,2
249,stecasta,0.001965387745375914,0.009352266705207883,0.02564102564102564,1,1,0.011284142802020423,2
250,alexshtf,0.00832686035276191,0.0,0.02564102564102564,1,1,0.011023051833412456,1
251,janeyx99,0.0015134729326696942,0.005840757678992972,0.02564102564102564,1,7,0.010049924169073462,4
252,albanD,0.002672193226876392,0.0034506431565255098,0.02564102564102564,1,12,0.009796377930015901,4
253,d4l3k,0.003376897994475821,0.0017584429349135232,0.02564102564102564,1,5,0.009570599770572077,4
254,daisyden,0.0028312365805761375,0.002204577572224631,0.02564102564102564,1,1,0.009486175596205536,2
255,cleonard530,0.0015134729326696942,0.0032455918485330255,0.02564102564102564,1,7,0.009271374419935478,4
256,ekneissl,0.003376897994475821,0.0,0.02564102564102564,1,0,0.00904306689009802,1
257,radeksm,0.0016669917029767678,0.001752420870067929,0.02564102564102564,1,4,0.008884830634518778,3
